# Voltage,Time
3.275824175824175732e+00,2.839999999999968418e-03
3.275018315018315196e+00,2.844999999999968214e-03
3.276630036630036713e+00,2.849999999999968010e-03
3.275824175824175732e+00,2.854999999999967807e-03
3.275824175824175732e+00,2.859999999999967603e-03
3.276630036630036713e+00,2.864999999999967399e-03
3.275824175824175732e+00,2.869999999999967195e-03
3.275824175824175732e+00,2.874999999999966992e-03
3.276630036630036713e+00,2.879999999999966788e-03
3.276630036630036713e+00,2.884999999999966584e-03
3.275824175824175732e+00,2.889999999999966381e-03
3.277435897435897250e+00,2.894999999999966177e-03
3.276630036630036713e+00,2.899999999999965973e-03
3.276630036630036713e+00,2.904999999999965769e-03
3.276630036630036713e+00,2.909999999999965566e-03
3.277435897435897250e+00,2.914999999999965362e-03
3.277435897435897250e+00,2.919999999999965158e-03
3.277435897435897250e+00,2.924999999999964954e-03
3.277435897435897250e+00,2.929999999999964751e-03
3.276630036630036713e+00,2.934999999999964547e-03
3.277435897435897250e+00,2.939999999999964343e-03
3.276630036630036713e+00,2.944999999999964140e-03
3.277435897435897250e+00,2.949999999999963936e-03
3.276630036630036713e+00,2.954999999999963732e-03
3.277435897435897250e+00,2.959999999999963528e-03
3.277435897435897250e+00,2.964999999999963325e-03
3.277435897435897250e+00,2.969999999999963121e-03
3.278241758241758230e+00,2.974999999999962917e-03
3.277435897435897250e+00,2.979999999999962713e-03
3.277435897435897250e+00,2.984999999999962510e-03
3.277435897435897250e+00,2.989999999999962306e-03
3.277435897435897250e+00,2.994999999999962102e-03
3.279047619047619211e+00,2.999999999999961899e-03
3.277435897435897250e+00,3.004999999999961695e-03
3.278241758241758230e+00,3.009999999999961491e-03
3.277435897435897250e+00,3.014999999999961287e-03
3.277435897435897250e+00,3.019999999999961084e-03
3.279047619047619211e+00,3.024999999999960880e-03
3.278241758241758230e+00,3.029999999999960676e-03
3.277435897435897250e+00,3.034999999999960472e-03
3.277435897435897250e+00,3.039999999999960269e-03
3.277435897435897250e+00,3.044999999999960065e-03
3.278241758241758230e+00,3.049999999999959861e-03
3.277435897435897250e+00,3.054999999999959658e-03
3.277435897435897250e+00,3.059999999999959454e-03
3.279853479853479747e+00,3.064999999999959250e-03
3.277435897435897250e+00,3.069999999999959046e-03
3.279047619047619211e+00,3.074999999999958843e-03
3.278241758241758230e+00,3.079999999999958639e-03
3.278241758241758230e+00,3.084999999999958435e-03
3.279853479853479747e+00,3.089999999999958231e-03
3.279047619047619211e+00,3.094999999999958028e-03
3.278241758241758230e+00,3.099999999999957824e-03
3.279047619047619211e+00,3.104999999999957620e-03
3.279047619047619211e+00,3.109999999999957417e-03
3.276630036630036713e+00,3.114999999999957213e-03
3.279047619047619211e+00,3.119999999999957009e-03
3.279047619047619211e+00,3.124999999999956805e-03
3.279047619047619211e+00,3.129999999999956602e-03
3.279853479853479747e+00,3.134999999999956398e-03
3.279047619047619211e+00,3.139999999999956194e-03
3.279047619047619211e+00,3.144999999999955990e-03
3.279853479853479747e+00,3.149999999999955787e-03
3.279047619047619211e+00,3.154999999999955583e-03
3.279853479853479747e+00,3.159999999999955379e-03
3.279853479853479747e+00,3.164999999999955176e-03
3.279853479853479747e+00,3.169999999999954972e-03
3.279853479853479747e+00,3.174999999999954768e-03
3.279853479853479747e+00,3.179999999999954564e-03
3.280659340659340728e+00,3.184999999999954361e-03
3.279853479853479747e+00,3.189999999999954157e-03
3.280659340659340728e+00,3.194999999999953953e-03
3.280659340659340728e+00,3.199999999999953749e-03
3.280659340659340728e+00,3.204999999999953546e-03
3.280659340659340728e+00,3.209999999999953342e-03
3.279853479853479747e+00,3.214999999999953138e-03
3.279047619047619211e+00,3.219999999999952935e-03
3.280659340659340728e+00,3.224999999999952731e-03
3.280659340659340728e+00,3.229999999999952527e-03
3.279853479853479747e+00,3.234999999999952323e-03
3.279853479853479747e+00,3.239999999999952120e-03
3.281465201465201265e+00,3.244999999999951916e-03
3.282271062271062245e+00,3.249999999999951712e-03
3.280659340659340728e+00,3.254999999999951509e-03
3.280659340659340728e+00,3.259999999999951305e-03
3.280659340659340728e+00,3.264999999999951101e-03
3.282271062271062245e+00,3.269999999999950897e-03
3.280659340659340728e+00,3.274999999999950694e-03
3.281465201465201265e+00,3.279999999999950490e-03
3.280659340659340728e+00,3.284999999999950286e-03
3.280659340659340728e+00,3.289999999999950082e-03
3.280659340659340728e+00,3.294999999999949879e-03
3.281465201465201265e+00,3.299999999999949675e-03
3.280659340659340728e+00,3.304999999999949471e-03
3.281465201465201265e+00,3.309999999999949268e-03
3.280659340659340728e+00,3.314999999999949064e-03
3.280659340659340728e+00,3.319999999999948860e-03
3.280659340659340728e+00,3.324999999999948656e-03
3.280659340659340728e+00,3.329999999999948453e-03
3.280659340659340728e+00,3.334999999999948249e-03
3.280659340659340728e+00,3.339999999999948045e-03
3.280659340659340728e+00,3.344999999999947841e-03
3.280659340659340728e+00,3.349999999999947638e-03
3.280659340659340728e+00,3.354999999999947434e-03
3.280659340659340728e+00,3.359999999999947230e-03
3.281465201465201265e+00,3.364999999999947027e-03
3.280659340659340728e+00,3.369999999999946823e-03
3.281465201465201265e+00,3.374999999999946619e-03
3.280659340659340728e+00,3.379999999999946415e-03
3.280659340659340728e+00,3.384999999999946212e-03
3.280659340659340728e+00,3.389999999999946008e-03
3.280659340659340728e+00,3.394999999999945804e-03
3.281465201465201265e+00,3.399999999999945600e-03
3.281465201465201265e+00,3.404999999999945397e-03
3.280659340659340728e+00,3.409999999999945193e-03
3.282271062271062245e+00,3.414999999999944989e-03
3.281465201465201265e+00,3.419999999999944786e-03
3.281465201465201265e+00,3.424999999999944582e-03
3.281465201465201265e+00,3.429999999999944378e-03
3.281465201465201265e+00,3.434999999999944174e-03
3.282271062271062245e+00,3.439999999999943971e-03
3.282271062271062245e+00,3.444999999999943767e-03
3.281465201465201265e+00,3.449999999999943563e-03
3.281465201465201265e+00,3.454999999999943359e-03
3.280659340659340728e+00,3.459999999999943156e-03
3.281465201465201265e+00,3.464999999999942952e-03
3.281465201465201265e+00,3.469999999999942748e-03
3.280659340659340728e+00,3.474999999999942545e-03
3.280659340659340728e+00,3.479999999999942341e-03
3.295970695970695807e+00,3.484999999999942137e-03
3.280659340659340728e+00,3.489999999999941933e-03
3.281465201465201265e+00,3.494999999999941730e-03
3.281465201465201265e+00,3.499999999999941526e-03
3.282271062271062245e+00,3.504999999999941322e-03
3.282271062271062245e+00,3.509999999999941118e-03
3.282271062271062245e+00,3.514999999999940915e-03
3.282271062271062245e+00,3.519999999999940711e-03
3.281465201465201265e+00,3.524999999999940507e-03
3.282271062271062245e+00,3.529999999999940304e-03
3.283076923076923226e+00,3.534999999999940100e-03
3.282271062271062245e+00,3.539999999999939896e-03
3.281465201465201265e+00,3.544999999999939692e-03
3.283076923076923226e+00,3.549999999999939489e-03
3.282271062271062245e+00,3.554999999999939285e-03
3.282271062271062245e+00,3.559999999999939081e-03
3.282271062271062245e+00,3.564999999999938878e-03
